trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,entry_type,be_triggered
1,2025-11-14,LONG,NY_AM_SILVER_BULLET,4147.4,4139.89,4207.44,0.1,4139.89,SL,-75.1,1.0,27027,2025-11-14 19:45 NPT,2025-11-14 19:50 NPT,4145.36,4148.72,4142.89,BULLISH,OB_ENTRY,False
2,2025-12-02,LONG,NY_AM_SILVER_BULLET,4201.08,4201.08,4242.84,0.1,4201.08,BE,0.0,0.0,40121,2025-12-02 19:45 NPT,2025-12-02 23:00 NPT,4191.11,4203.3,4198.86,BULLISH,FVG_ENTRY,True
3,2025-12-03,LONG,NY_AM_SILVER_BULLET,4205.5,4205.5,4232.94,0.1,4232.94,TP,274.4,8.0,41242,2025-12-03 19:45 NPT,2025-12-03 21:35 NPT,4202.84,4205.93,4205.07,BULLISH,FVG_ENTRY,True
4,2025-12-04,LONG,ASIAN_SWEEP_WINDOW,4196.85,4193.04,4227.37,0.1,4193.04,SL,-38.1,1.0,42029,2025-12-04 12:45 NPT,2025-12-04 13:00 NPT,4194.61,4197.35,4196.04,BULLISH,OB_ENTRY,False
5,2025-12-16,LONG,ASIAN_SWEEP_WINDOW,4284.83,4279.84,4324.71,0.1,4279.84,SL,-49.9,1.0,50846,2025-12-16 13:40 NPT,2025-12-16 15:10 NPT,4280.67,4286.81,4282.84,BULLISH,MSS_ENTRY,False
6,2025-12-23,LONG,NY_PM_SILVER_BULLET,4455.41,4455.41,4471.28,0.1,4471.28,TP,158.7,3.0,56698,2025-12-23 23:45 NPT,2025-12-24 00:35 NPT,4449.51,4456.74,4453.12,BULLISH,OB_ENTRY,True
7,2025-12-24,LONG,NY_PM_SILVER_BULLET,4473.63,4473.63,4499.94,0.1,4499.94,TP,263.1,5.01,57775,2025-12-25 00:25 NPT,2025-12-26 06:45 NPT,4468.29,4475.88,4471.38,BULLISH,MSS_ENTRY,True
8,2026-01-29,LONG,NY_PM_SILVER_BULLET,5187.41,5187.41,5399.33,0.1,5292.99,EOD,1055.8,3.99,83808,2026-01-29 23:45 NPT,2026-01-30 03:45 NPT,5157.31,5210.9,5163.92,BULLISH,MSS_ENTRY,True
9,2026-01-30,LONG,NY_AM_SILVER_BULLET,5131.2,5115.02,5260.68,0.1,5115.02,SL,-161.8,1.0,84763,2026-01-30 19:45 NPT,2026-01-30 20:10 NPT,5112.34,5144.39,5118.02,BULLISH,MSS_ENTRY,False
10,2026-02-26,LONG,NY_PM_SILVER_BULLET,5178.87,5173.71,5217.8,0.1,5173.71,SL,-51.6,1.0,105814,2026-02-26 23:45 NPT,2026-02-26 23:55 NPT,5155.58,5181.03,5176.71,BULLISH,FVG_ENTRY,False
11,2026-04-02,LONG,ASIAN_SWEEP_WINDOW,4667.65,4662.31,4710.37,0.1,4662.31,SL,-53.4,1.0,132433,2026-04-02 13:40 NPT,2026-04-02 14:15 NPT,4661.63,4669.99,4665.31,BULLISH,MSS_ENTRY,False
12,2026-04-02,LONG,NY_PM_SILVER_BULLET,4667.3,4655.93,4758.3,0.1,4655.93,SL,-113.7,1.0,132914,2026-04-02 23:45 NPT,2026-04-03 00:35 NPT,4650.05,4675.68,4658.93,BULLISH,MSS_ENTRY,False
13,2026-04-07,LONG,NY_PM_SILVER_BULLET,4618.94,4618.94,4706.61,0.1,4665.32,EOD,463.8,3.91,134988,2026-04-07 23:45 NPT,2026-04-08 03:45 NPT,4616.23,4622.05,4610.08,BULLISH,OB_ENTRY,True
