trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,entry_type,be_triggered,vwap,vwap_aligned,vwap_lot_modifier
1,2025-10-15,LONG,ASIAN_SWEEP_WINDOW,4154.68,4154.68,4179.6,0.1,4179.6,TP,249.2,2.69,2495,2025-10-15 12:45 NPT,2025-10-15 12:50 NPT,4140.73,4160.95,4148.41,BULLISH,MSS_ENTRY,True,4171.05,True,0.75
2,2025-10-16,LONG,ASIAN_SWEEP_WINDOW,4202.76,4202.76,4218.12,0.1,4218.12,TP,153.6,2.74,3599,2025-10-16 12:45 NPT,2025-10-16 12:50 NPT,4199.79,4205.35,4200.16,BULLISH,MSS_ENTRY,True,4222.65,True,0.75
3,2025-10-20,LONG,ASIAN_SWEEP_WINDOW,4224.11,4224.11,4279.55,0.1,4224.11,BE,0.0,0.0,5778,2025-10-20 12:45 NPT,2025-10-20 15:15 NPT,4219.03,4227.28,4220.18,BULLISH,OB_ENTRY,True,4252.08,True,0.75
4,2025-10-21,LONG,NY_AM_SILVER_BULLET,4339.52,4339.52,4381.53,0.1,4339.52,BE,0.0,0.0,7247,2025-10-21 19:45 NPT,2025-10-21 19:50 NPT,4333.07,4343.96,4335.08,BULLISH,MSS_ENTRY,True,4263.66,False,0.75
5,2025-11-11,LONG,ASIAN_SWEEP_WINDOW,4139.03,4139.03,4153.91,0.1,4139.03,BE,0.0,0.0,23374,2025-11-11 12:45 NPT,2025-11-11 13:15 NPT,4115.06,4140.99,4137.07,H1:BULLISH,MSS_ENTRY,True,4133.63,False,0.75
6,2025-12-02,LONG,NY_AM_SILVER_BULLET,4201.08,4201.08,4242.84,0.1,4201.08,BE,0.0,0.0,40121,2025-12-02 19:45 NPT,2025-12-02 23:00 NPT,4191.11,4203.3,4198.86,BULLISH,FVG_ENTRY,True,4190.92,False,0.75
7,2025-12-03,LONG,ASIAN_SWEEP_WINDOW,4207.42,4207.42,4236.03,0.1,4207.42,BE,0.0,0.0,40920,2025-12-03 12:45 NPT,2025-12-03 13:25 NPT,4202.84,4211.07,4203.77,BULLISH,MSS_ENTRY,True,4217.36,True,0.75
8,2025-12-03,LONG,NY_PM_SILVER_BULLET,4216.72,4216.72,4236.03,0.1,4216.72,BE,0.0,0.0,41446,2025-12-03 23:45 NPT,2025-12-04 00:35 NPT,4202.84,4221.03,4212.41,BULLISH,MSS_ENTRY,True,4214.61,False,1.0
9,2025-12-04,LONG,NY_PM_SILVER_BULLET,4191.26,4191.26,4230.66,0.1,4207.42,EOD,161.6,3.28,42512,2025-12-04 23:45 NPT,2025-12-05 03:45 NPT,4187.2,4193.18,4189.33,BULLISH,MSS_ENTRY,True,4199.06,True,1.0
10,2025-12-23,LONG,NY_PM_SILVER_BULLET,4468.46,4468.46,4484.78,0.1,4484.78,TP,163.2,3.0,56723,2025-12-24 00:35 NPT,2025-12-24 02:40 NPT,4449.51,4470.9,4466.02,BULLISH,MSS_ENTRY,True,4468.38,False,1.0
